PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA
NA,M,M03,2,11 BC Serenity Garden,626 East 11th Street,0.054,DPR,East Village,Avenues B & C,40.727124,-73.978677,10009,28,1000000,1003930020,Lower East Side                                                            
NA,B,B08,36,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,PRI,Crown Heights,Nostrand & New York Avenues,,,,,,,
M382,M,M11,9,110th Street Block Association,1651 Madison Avenue,0.043,DPR,East Harlem,Active,40.796295,-73.947533,10029,17402,1000000,1016160023,East Harlem South                                                          
M331,M,M11,8,117th Street Community Garden,172 E 117th Street,0.08,DPR,East Harlem,Active,40.798976,-73.940376,10035,182,1089914,1016440046,East Harlem North                                                          
NA,M,M03,2,11th Street Community Garden,422 East 11th Street,0.054,TPL,East Village,1st Avenue & Avenue A,40.729079,-73.983327,10009,34,1000000,1004380019,East Village                                                               
NA,X,X12,15,211th Street Block Association.,Carlisle Place,0.182,NYRP,,At E. 211th Street,,,,,,,
NA,X,X06,15,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,TPL,,At E. 181st Street,40.847216,-73.885018,10460,36501,2000000,2031110007,East Tremont                                                               
B535,B,B05,42,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,DPR,East New York,Active,,,,,,,
M313A,M,M03,1,5th Street Slope Garden Club,626-27 East 5th Street,0.031,DPR,East Village,Active,40.723433,-73.980995,10009,2601,1075625,1003870020,Lower East Side                                                            
NA,B,B07,38,6/15 Green,274 15th Street,0.287,TPL,Park Slope,corner of 6th Avenue & 15th Street,40.664706,-73.987554,11215,141,3000000,3010480034,Park Slope-Gowanus                                                         
NA,B,B07,0,64th Street Community Garden,64th Street,NA,DOT,Sunset Park,West of 4th Avenue,,,,,,,
M313,M,M03,1,6BC Botanical Garden,624-628 E 6th Street,0.171,DPR,East Village,Active,40.724036,-73.980569,10009,2601,1000000,1003870121,Lower East Side                                                            
M293,M,M03,2,6th Street & Avenue B Garden,78-92 Avenue B,0.315,DPR,East Village,Active,40.724031,-73.981986,10009,32,1000000,1004010039,East Village                                                               
B438,B,B16,41,700 Decatur Street Block Association,700 Decatur Street,0.114,DPR,Bed-Stuy,Active,40.683541,-73.915121,11233,373,3040656,3015060032,Ocean Hill                                                                 
X351,X,X03,17,811 Family and Friends Association,809 Courtlandt Avenue,0.063,DPR,,Active,40.823065,-73.91645,10451,69,2000000,2024180022,Melrose South-Mott Haven North                                             
Q495,Q,Q03,21,97th Street Block Association,33-28 97th Street,0.177,DPR,Corona,Active,40.756409,-73.87122,11368,375,4000000,4017110021,North Corona                                                               
M312,M,M03,2,9th Street Community Garden & Park,703 East 9th Street,0.39,DPR,East Village,Active,40.725211,-73.977776,10009,28,1000000,1003790063,Lower East Side                                                            
B507,B,B03,41,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044,DPR,Bed-Stuy,Active,,,,,,,
X350,X,X03,16,A. Badillo Community Rose Garden,924 Melrose Avenue,0.064,DPR,Melrose,Active,40.82513,-73.913329,10451,141,2000000,2023840009,Morrisania-Melrose                                                         
NA,B,B04,37,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NYRP,,,,,,,,,
B533,B,B16,,Abib Newborn,495 Osborn Street,0.249,DPR,East New York,Active,40.659528,-73.906203,11212,920,3000000,3036170013,Brownsville                                                                
NA,X,X09,18,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,NA,DOE,,Lafayette & Stickball Avenue,,,,,,,
NA,M,M03,2,Alberts Garden,16-18 East 2nd Street,0.07,TPL,East Village,Bowery & 2nd Avenue,40.725347,-73.99132,10003,3602,1000000,1004580041,East Village                                                               
B439,B,B03,34,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,0.064,DPR,Bed-Stuy,Active,40.694344,-73.946088,11206,25901,3000000,3017600001,Bedford                                                                    
NA,M,M03,2,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,TPL,East Village,Avenues C & D,40.721396,-73.979916,10009,2601,1000000,1003730059,Lower East Side                                                            
B409,B,B06,39,Amazing Garden,261-265 Columbia Street,0.103,DPR,Red Hook,Active,40.683251,-74.003548,11231,51,3000000,3003480003,Carroll Gardens-Columbia Street-Red Hook                                   
B440,B,B16,41,Amboy St. Garden,199 Amboy Street,0.391,DPR,,Active,40.665633,-73.913605,11212,902,3081400,3035400007,Brownsville                                                                
B441,B,B03,36,American Heart,122 Hart Street,0.05,DPR,Bed-Stuy,Active,40.693378,-73.946915,11206,261,3000000,3017710029,Bedford                                                                    
X339,X,X03,16,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,0.131,DPR,,Active,40.83652,-73.885069,10460,161,2117995,2029980170,Crotona Park East                                                          
NA,X,X05,15,Anthony Avenue Garden,2078 Anthony Avenue,0.054,TPL,,E. 180th Street & Burnside Avenue,40.852889,-73.901885,10457,381,2000000,2031560055,Mount Hope                                                                 
Q470,Q,X01,,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,DPR,,,,,,,,,
B443,B,B05,37,Atkins Gardeners,213 Atkins Avenue,0.068,DPR,East New York,Active,40.673772,-73.878795,11208,1194,3256563,3040230006,East New York                                                              
NA,M,M03,1,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,DOE,Lower East Side,Stanton Street,40.72252,-73.990728,10002,3601,1005626,1004220072,Chinatown                                                                  
M342,M,M03,2,Avenue B Community Garden Association,200 Avenue B,0.05,DPR,East Village,Active,40.728307,-73.978864,10009,34,1005220,1004060037,East Village                                                               
Q486,Q,Q12,28,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,DPR,,Active,40.683535,-73.792211,11434,272,4264367,4121920014,Baisley Park                                                               
NA,Q,Q12,,Back To Eden,144-29 Lakewood Avenue,NA,TPL,,At Inwood St,40.689588,-73.803594,11435,196,       ,          ,South Jamaica                                                              
B410,B,B06,39,Backyard Garden,61-73 Hamilton Avenue,0.225,DPR,Red Hook,Active,40.682842,-74.006259,11231,51,3000000,3003520010,Carroll Gardens-Columbia Street-Red Hook                                   
NA,X,X07,11,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,TPL,,E. 201st Street & Bedford Park Boulevard,40.870996,-73.884326,10458,415,2016756,2032920084,Bedford Park-Fordham North                                                 
NA,X,X06,,Bathgate Garden,1836 Bathgate Avenue,NA,NYRP,,"E 175th & E 176th, just North of Cross Bronx",40.84506,-73.898018,10457,395,2000000,2029230012,Claremont-Bathgate                                                         
R137A,R,R03,3,Bayview Habitat,Bayview Terrace,0.276,DPR,,,,,,,,,
NA,Q,Q14,31,Beach Channel High School,100-00 Beach Channel Drive,NA,DOE,Far Rockaway,At Beach 100 Street,40.586066,-73.822624,11694,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
NA,B,B03,41,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,0.073,NYRP,Bed-Stuy,Greene & Lexington Avenues,,,,,,,
NA,B,B03,,Bed-Stuy Farm,404 Decatur Street,NA,DPR/PRI,,Btwn Malcolm X & Patchen Avenue,40.682166,-73.927115,11233,381,3000000,3016820058,Crown Heights North                                                        
NA,X,X06,15,Belmont Little Farmers,2483 Belmont Avenue,0.1,TPL,Belmont,E. 189th Street & E. Fordam Rd.,40.856921,-73.884462,10458,389,       ,          ,Belmont                                                                    
B444,B,B01,34,Berry Street Garden,301-303 Berry Street,0.137,DPR,Williamsburg,Active,40.713449,-73.963827,11249,551,3000000,3024170004,North Side-South Side                                                      
NA,X,X04,,Bettes Rose Garden,Teller Avenue,NA,NYRP,,E 164th & E 165th,,,,,,,
B446,B,B05,42,Big Red Garden,436 Van Siclen Avenue,0.043,DPR,East New York,Active,40.669128,-73.889416,11207,1160,3000000,3040410052,East New York                                                              
NA,X,X12,18,Bissel Gardens,in Bissel Street,0.08,MTA,,from Barnes to Baychester Avenues,,,,,,,
NA,M,M11,,Black Veterans For Social Justice,22 East 119th Street,NA,HRA,East Harlem,5th & Madison Avenues,40.802263,-73.944274,10035,184,1076434,1017450005,East Harlem North                                                          
Q487,Q,Q12,28,Block Association #81,Inwood Street,0.115,DPR,Jamaica,Active,,,,,,,
M333,M,M10,7,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,DPR,Hamilton Heights,Active,,,,,,,
NA,B,B02,,Bridge Plaza Community Garden,Bridge St,NA,NYRP,,Corner of Bridge St & Concord St,,,,,,,
NA,B,B02,,Bridge Plaza Court,Bridge Plaza Court,NA,DPR/DOT,,Concord St & Nassau St,,,,,,,
M334,M,M03,2,Brisas Del Caribe,237 E 3rd Street,0.06,DPR,East Village,Active,40.722296,-73.982048,10009,2601,1000000,1003860052,Lower East Side                                                            
X246,X,X01,,Brook Park,494 East 141st Street,NA,DPR,,Active,40.809829,-73.918667,10454,39,2000000,2022850042,Mott Haven-Port Morris                                                     
B421,B,B02,35,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,0.14,DPR,Clinton Hill,Active,40.685731,-73.971356,11238,179,3000000,3019570023,Fort Greene                                                                
NA,B,B02,33,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,NA,TPL,Park Slope,Atlantic Avenue & Pacific Street,,,,,,,
B422,B,B02,33,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,0.082,DPR,Downtown Brooklyn,Active,40.687133,-73.979674,11217,33,       ,          ,Fort Greene                                                                
NA,B,B02,35,Brooklyn's Finest Garden,48 Lefferts Place,0.057,DPR,,Street James Pl & Grand Avenue,40.681526,-73.961901,11238,201,3000000,3020180035,Clinton Hill                                                               
X315,X,X02,17,Bryant Hill Community Garden,899-999 Bryant Avenue,0.34,DPR,Hunt's Point,Active,40.819878,-73.886951,10474,11502,2000000,2027610102,Hunts Point                                                                
B447,B,B05,42,C.A.U.S.A. Festival Garden,790 Blake Avenue,0.168,DPR,East New York,Active,40.668623,-73.889471,11207,1160,3000000,3040570031,East New York                                                              
NA,X,X05,14,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,NA,DOE,,,40.851414,-73.918533,10453,20502,2094549,2028770393,University Heights-Morris Heights                                          
NA,X,X04,16,C.E.S. 126 - Literacy Garden,175 W 166th Street,NA,DOE,,Ogden Avenue & MLK Jr. Boulevard,40.835784,-73.928324,10452,199,2003495,2025260083,Highbridge                                                                 
NA,X,X03,0,C.E.S. 55,450 St. Pauls Place,NA,DOE,Mt. Eden,Park & Washington Avenues,40.836404,-73.905014,10456,14702,2009463,2029020001,Claremont-Bathgate                                                         
NA,X,X04,16,C.E.S. 73,1020 Anderson Avenue,NA,TPL/DOE,,E 164th & E. 165th Streets.,40.832706,-73.926838,10452,189,2003051,2025040082,Highbridge                                                                 
X340,X,X03,16,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,0.161,DPR,Morrisania,Active,40.831035,-73.89477,10459,153,       ,          ,Crotona Park East                                                          
NA,M,M10,9,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,DOE,,Frederick Douglass & Adam Clayton Powell Boulevards,40.810928,-73.948938,10027,224,1058671,1019320010,Central Harlem North-Polo Grounds                                          
NA,M,M10,9,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,NA,DOE,,At Harlem River Drive,,,,,,,
NA,X,X06,15,C.S. 57 - Garden of Hope,2111 Crotona Avenue,NA,DOE,,E. 180th & E. 181st Streets.,40.848472,-73.888561,10457,373,2012359,2030810026,East Tremont                                                               
NA,X,X06,0,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,NA,DOE,Tremont,Vyse & Bryant Avenues,40.840755,-73.881707,10460,359,2010892,2030050010,East Tremont                                                               
NA,X,X03,15,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,0.055,DOE,,At Charlotte Street,40.836575,-73.892817,10460,153,2009865,2029390045,Crotona Park East                                                          
NA,Q,Q13,27,Cambria Heights Civic Association,227th Street,0.207,TPL,Cambria Heights,At Linden Boulevard,,,,,,,
M359,M,M03,2,CAMPOS,640-644 East 12th Street,0.119,DPR,East Village,Active,40.727318,-73.977194,10009,28,1000000,1003940029,Lower East Side                                                            
M388,M,M11,9,Carolina Garden / formerly 116th Street Block Association,122nd Street,0.063,DPR,East Harlem,Active,,,,,,,
NA,X,X12,0,Carpenter Avenue Community Garden,in East 239th Street,NA,DOT,Wakefield,At Carpenter Avenue,,,,,,,
M385,M,M10,9,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059,DPR,,Active,40.804436,-73.952746,10026,218,1000000,1019230020,Central Harlem South                                                       
NA,B,B06,30,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,0.069,NYRP,,,40.676396,-73.984555,11215,119,3000000,3004560014,Park Slope-Gowanus                                                         
NA,M,M11,8,Carver Community Garden,236-242 East 124th Street,0.275,TPL,East Harlem,2nd & 3rd Avenues,40.802632,-73.935399,10035,194,1000000,1017880034,East Harlem North                                                          
NA,X,X01,17,Cauldwell Youth Garden,551 Cauldwell Avenue,0.119,TPL,Mott Haven,E. 149th Street & Westchester Avenue,40.814133,-73.910779,10455,73,2000000,2026230058,Melrose South-Mott Haven North                                             
B448,B,B03,36,Cedar Tree Garden,305 Greene Avenue,0.177,DPR,,Active,40.687514,-73.958923,11238,233,3000000,3019530070,Bedford                                                                    
NA,B,B03,41,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,0.112,TPL,Bed-Stuy,Ralph & Patchen Avenues,40.681591,-73.925688,11233,381,3047698,3016830091,Crown Heights North                                                        
NA,M,M11,9,Chenchitas Group Garden,1691-93 Madison Avenue,0.053,HPD,East Harlem,E. 111th & E. 112th Streets.,40.797308,-73.946792,10029,17402,1000000,1016170051,East Harlem South                                                          
NA,M,M10,9,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,PRI,,5th & Lenox Avenues,40.802366,-73.94642,10026,190,1083962,1017170022,Central Harlem South                                                       
B224A,B,B03,41,Citizens for a Better Community,127 Patchen Avenue,0.299,DPR,Bed-Stuy,Active,40.687548,-73.926979,11221,385,3000000,3016430001,Stuyvesant Heights                                                         
NA,M,M02,3,City-As-School H.S.,16 Clarkson Street,0.11,DOE,West Village,Hudson & Varick Streets.,40.729412,-74.006148,10014,67,1009757,1005810054,West Village                                                               
B450,B,B05,37,Clara's Garden,573-579 Glenmore Avenue,0.043,DPR,East New York,Active,40.674214,-73.889148,11207,1152,3088528,3039790033,East New York                                                              
X321,X,X04,16,Claremont Neighborhood Garden,1280 Teller Avenue,0.19,DPR,,Active,40.834051,-73.910553,10456,17701,2000000,2024310020,East Concourse-Concourse Village                                           
NA,B,B03,36,Classon/Fulgate Block Association,474 Classon Avenue,0.115,TPL,,Madison & Monroe Streets,40.683943,-73.959033,11238,231,3414490,3019840062,Clinton Hill                                                               
NA,X,X04,16,Clay Avenue Community Garden,1328-1332 Clay Avenue,0.033,NYRP,,E. 169th & E. 170th Streets,40.835309,-73.908936,10456,17702,2000000,2028870012,East Concourse-Concourse Village                                           
M374,M,M10,9,Clayton Williams Garden,303 W 126th Street,0.057,TPL/DPR,,Active,40.810959,-73.950928,10027,215,1000000,1019530028,Central Harlem North-Polo Grounds                                          
B526,B,B05,37,Cleveland Street Vegetable Garden,433-435 Cleveland Street,0.057,DPR,East New York,Active,40.674162,-73.884339,11208,1166,3088902,3040010003,East New York                                                              
NA,B,B02,35,Clifton Place Garden,289 Grand Avenue,0.086,TPL,,Clifton Pl. & Greene Avenue,40.687639,-73.962648,11238,231,3000000,3019520003,Clinton Hill                                                               
B451,B,B03,36,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,0.165,DPR,,Active,40.688603,-73.954945,11216,243,3000000,3017930009,Bedford                                                                    
NA,X,X06,15,Clinton Avenue Block Association,757 East 179th Street,0.115,NYRP,,N/W corner of Prospect Avenue & 179th Street,40.845858,-73.888049,10457,371,2000000,2030940063,East Tremont                                                               
M281,M,M04,3,Clinton Community Garden,436 West 48th Street,0.35,DPR,Hell's Kitchen,Active,40.762717,-73.991026,10036,127,1000000,1010570050,Clinton                                                                    
NA,X,X04,16,College Avenue GreenThumb,1420 College Avenue,0.43,DPR,,E. 170th & E. 171st Streets,40.838033,-73.91027,10456,225,2000000,2027840004,East Concourse-Concourse Village                                           
NA,M,M10,,Colonial Gardeners,304-306 West 150th St,NA,PRI,,Bradhurst Avenue & Frederick Douglass Boulevard,40.826069,-73.939785,10039,259,1000000,1020450098,Central Harlem North-Polo Grounds                                          
M335,M,M03,1,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.058,DPR,Lower East Side,Active,40.72017,-73.984289,10002,2201,1000000,1003440148,Lower East Side                                                            
B520,B,B04,34,Concerned Citizens of Grove Street,72-74 Grove Street,0.11,DPR,Bushwick,Active,40.692238,-73.92181,11221,399,3000000,3033220008,Bushwick South                                                             
B452,B,B05,37,Concerned Residents of Barbey Street,606 Glenmore Avenue,0.057,DPR,,Active,40.674396,-73.887803,11207,1150,3000000,3039970010,East New York                                                              
B453,B,B05,37,Concerned Residents of Montauk Avenue,214 Montauk Avenue,0.091,DPR,East New York,Active,40.673887,-73.87789,11208,1194,       ,          ,East New York                                                              
NA,M,M08,0,Life Sciences High School,320 96th Street NY NY 10128,NA,DOE,Upper East Side,1st & 2nd Avenue,,,,,,,
NA,X,X06,15,Concerned Tenants of Daly Avenue,2139 Daly Avenue,0.179,TPL,,181st Street & Bronx Parkway South,40.845582,-73.880943,10460,363,2000000,2031250035,East Tremont                                                               
NA,B,B04,37,Contented Hart Garden,1475 Bushwick Avenue,0.057,TPL,Bushwick,Pilling & Granite Streets.,40.683411,-73.907424,11207,403,3000000,3034570003,Bushwick South                                                             
B454,B,B04,40,Cooper Street Block Buster Block Association.,41 Cooper Street,0.16,DPR,Bushwick,Active,40.684528,-73.910541,11207,403,3000000,3034320040,Bushwick South                                                             
NA,B,B04,37,Cooper Street Gardeners,34 Cooper Street,0.078,NYRP,,Bushwick Avenue & Broadway,40.684311,-73.910725,11207,403,3000000,3034380024,Bushwick South                                                             
Q474A,Q,Q04,21,Corona Taxpayers Association,52-02 102nd  Street,0.18,DPR,Corona,Active,40.741788,-73.859801,11368,44301,4000000,4019320031,Corona                                                                     
X338,X,X01,17,Courtlandt Avenue Association,364-366 East 158th Street,0.171,DPR,Melrose,Active,40.822689,-73.91614,10451,69,2000000,2024040009,Melrose South-Mott Haven North                                             
M315,M,M03,2,Creative Little Garden,530 East 6th Street,0.06,DPR,East Village,Active,40.72511,-73.983119,10009,32,1000000,1004010025,East Village                                                               
NA,X,X05,,Creston Jungle Playground,2242 Creston Avenue,NA,NYRP,,E 182nd & E 183rd,40.856775,-73.901518,10453,23704,2000000,2031630005,Fordham South                                                              
B455,B,B05,37,Crystal Street Block Association Community Garden,Crystal Street,0.344,DPR,East New York,Active,,,,,,,
NA,Q,Q14,31,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,0.138,HPD,Far Rockaway,B30th & B31st,40.595964,-73.763133,11691,992,4000000,4158060004,Hammels-Arverne-Edgemere                                                   
NA,Q,Q12,27,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,0.083,NYRP,,At Foch Boulevard,40.684574,-73.78111,11434,284,4000000,4123560021,Baisley Park                                                               
